file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_1617-2957_2022-01-11.txt	Studia Typologica [STTYP] : Beihefte / Supplements STUF - Sprachtypologie und Universalienforschung / Language Typology and Universals	STTYP-B	yes	no	no		27
degruyter_global_1617-3325_2022-01-11.txt	Deutsche Zeitschrift für Philosophie / Sonderbände	DZPHSB-B	yes	no	no		43
degruyter_global_1617-8874_2022-01-11.txt	Health Academy	HAC-B	yes	no	no		3
degruyter_global_1618-2294_2022-01-11.txt	Beiträge zum Internationalen Wirtschaftsrecht - Contributions on International Commercial Law	BIW-B	yes	no	no		1
degruyter_global_1619-2591_2022-01-11.txt	Studien zur mittelhochdeutschen Grammatik	SMG-B	yes	no	no		3
degruyter_global_1619-425X_2022-01-11.txt	Büchner-Studien : Veröffentlichungen der Forschungsstelle Georg Büchner - Literatur und Geschichte des Vormärz - am Institut für Neuere Deutsche Literatur und Medien der Philipps-Universität Marburg und der Georg Büchner Gesellschaft	BST-B	yes	no	no		4
degruyter_global_1660-9131_2022-01-11.txt	Welten Ostasiens / Worlds of East Asia / Mondes de l’Extrême Orient : Im Auftrag der Schweizerischen Asiengesellschaft - On behalf of the Swiss Asia Society - Au nom de la Société Suisse-Asie	WEA-B	yes	no	no		6
degruyter_global_1661-6278_2022-01-11.txt	Welten des Islams - Worlds of Islam - Mondes de l’Islam : Im Auftrag der Schweizerischen Asiengesellschaft - On behalf of the Swiss Asia Society - Au nom de la Société Suisse-Asie	WI-B	yes	no	no		8
degruyter_global_1661-755X_2022-01-11.txt	Welten Süd- und Zentralasiens / Worlds of South and Inner Asia / Mondes de l'Asie du Sud et de l'Asie Centrale : Im Auftrag der Schweizerischen Asiengesellschaft / On behalf of the Swiss Asia Society / Au nom de la Société Suisse-Asie	WSIA-B	yes	no	no		4
degruyter_global_1816-3882_2022-01-11.txt	Corpus Scriptorum Ecclesiasticorum Latinorum	CSEL-B	yes	no	no		15
degruyter_global_1860-0905_2022-01-11.txt	Principles of European Law	PEL-B	yes	no	no		11
degruyter_global_1860-174X_2022-01-11.txt	Beihefte zum Language and Culture Atlas of Ashkenazic Jewry	BLCAAJ-B	yes	no	no		5
degruyter_global_1860-1820_2022-01-11.txt	Bausteine zur Geschichte der Edition	BGE-B	yes	no	no		5
degruyter_global_1860-210X_2022-01-11.txt	spectrum Literaturwissenschaft / spectrum Literature : Komparatistische Studien / Comparative Studies	SL-B	yes	no	no		73
degruyter_global_1861-0676_2022-01-11.txt	Contributions to the Sociology of Language [CSL]	CSL-B	yes	no	no		114
degruyter_global_1861-4078_2022-01-11.txt	Applications of Cognitive Linguistics [ACL]	ACL-B	yes	no	no		46
degruyter_global_1861-4104_2022-01-11.txt	Communications Monograph [CM]	CM-B	yes	no	no		4
degruyter_global_1861-4116_2022-01-11.txt	Humor Research [HR]	HR-B	yes	no	no		12
degruyter_global_1861-4132_2022-01-11.txt	Cognitive Linguistics Research [CLR]	CLR-B	yes	no	no		63
